Address,Amount,Begin,Cliff,End,Installment
0xF45c995B76245365DB3E3d59b8EA9bf71Cd83A0a,70000000000000000000000000,1632801600,1664337600,1727409600,1
0x3fBa81c2CcbAb04C5a6B2ba2EB1fc8c6f28033fe,65000000000000000000000000,1632801600,1664337600,1727409600,1
0x17cB65c76dFb80C272D5D6C270E17Cd5D371281D,60000000000000000000000000,1632801600,1664337600,1727409600,1
0x977eFA9CA3e0dFB8A70f3970D39f1965Ed70DF8C,55000000000000000000000000,1632801600,1664337600,1727409600,1
0x448F98e8e2D4fd4bDB8B5456eA2555e38Ee0423c,50000000000000000000000000,1632801600,1664337600,1727409600,1
0x74bB476C99d2fad476DB75654e58404Db6EC4977,75000000000000000000000000,1647835200,1679371200,1742443200,1
0x71Be63ecCed8ff501198073D15A43A065D54B1D7,70000000000000000000000000,1641009600,1672545600,1735617600,1
0x0f33d6F1d69f87E5494cBfCAC9B9A3619f38Ca09,60000000000000000000000000,1634702400,1666238400,1729310400,1
0xF7aADe7389134BeA50e6e871940De12379666666,30000000000000000000000000,1632801600,1664337600,1727409600,1
0xfc81f736F9012d784911eE016D23E6fB89673e60,25000000000000000000000000,1632801600,1664337600,1727409600,1
0x38d343ca23d39a7D51256684B00141c4f3C000Bb,30000000000000000000000000,1639368000,1670904000,1733976000,1
0x1A9deC77516BA05316938D7Fb32F51D646f8d91f,40000000000000000000000000,1638158400,1669694400,1732766400,1
0xe221D08a15bF66B0116E34CBdd1a216d95669d3B,10000000000000000000000000,1642392000,1673928000,1737000000,1
0xA37D8aC82fbfC020106c31312DB7c692A58A0497,10000000000000000000000000,1642392000,1673928000,1737000000,1
0xD8ef260c409b50D349fDB054fEa9c94Da9eC21dB,10000000000000000000000000,1640664000,1640664000,1703736000,1
0x83F2ad5c5E34062b41618Ef1261b19d6C3DeB184,12500000000000000000000000,1633492800,1665028800,1728100800,1
0x917cf39cff45328cd63fb25312861b3bcC0B2626,10000000000000000000000000,1644206400,1675742400,1738814400,1
0xD8D46690Db9534eb3873aCf5792B8a12631D8229,10000000000000000000000000,1641268800,1672804800,1735876800,1
0x0c8B915885Ec97809BFde96A36E85152fcd16230,20000000000000000000000000,1643688000,1675224000,1738296000,1
0x486A9FE2e2a48fE767F959463AA50Dca2FAa6e0A,250000000000000000000000000,1649995200,1649995200,1649995200,0
0x5c4164bEf08be2660319893E39e8BCd54AB602c4,100000000000000000000000000,1649995200,1649995200,1649995200,0
0xC30bbf1CeB5be9018742E53f96B38a34e5d730F2,100000000000000000000000000,1649995200,1649995200,1649995200,0
0xeBEaAC07b0BCD2F39874A0d863cE7006206533Cf,50000000000000000000000000,1649995200,1649995200,1649995200,0
0xC9c4cD813731c2B8bC35bbE5a5C509bC6bc0F0b7,50000000000000000000000000,1649995200,1649995200,1649995200,0
0xA358d9411aDE0907347F558608eB2C4F0F00A6E7,2500000000000000000000000,1648785600,1648785600,1711857600,0
0x9e437B064CFC7801808c5e476ABfafA5069aB55B,10000000000000000000000000,1648785600,1648785600,1711857600,0
0x6B45A85c9F2eb0BDa157fB5740a313eD74A43717,5000000000000000000000000,1648785600,1648785600,1711857600,0
0x082D070ADBd585b2A02F5a09715Ae51E4c32CcE0,4000000000000000000000000,1648785600,1648785600,1711857600,0
0x1826BEf2d2A146e683bB812704cEBD6236CE8363,1000000000000000000000000,1648785600,1648785600,1711857600,0
0xEa77389A4A030403521d365022F9C5Dc14A5fE8A,2000000000000000000000000,1648785600,1648785600,1711857600,0
0x699F3595e0a04800d2CDE34022D113853696e3c2,5000000000000000000000000,1648785600,1648785600,1711857600,0
0x1958b3c6E31E7CDaE817439bf1e28dC092580aE1,2500000000000000000000000,1648785600,1648785600,1711857600,0
0x1381d9F55D7a5aEe20a541C90B16a7c56030BaaB,1000000000000000000000000,1648785600,1648785600,1711857600,0
0x4C88FE50000606F1E61fE3F6Fa501423e2f60553,1000000000000000000000000,1648785600,1648785600,1711857600,0
0x5259871a09d00DF405857837B8348b320AAf24C1,1000000000000000000000000,1648785600,1648785600,1711857600,0
0x1BDdd390E75c851F23Ee2185D84417CBE3bFece5,2500000000000000000000000,1647835200,1647835200,1710907200,0
0x2f0C7B6F3C44176aa6504eA57196A476E0a88686,1000000000000000000000000,1648785600,1648785600,1711857600,0